Designator,Mid X,Mid Y,Layer,Rotation
BLED1,191.521076,-76.767738,top,90
C1,180.213,-59.699,top,270
C2,194.437,-65.541,top,90
C3,165.998,-95.885,top,0
C4,156.083,-93.862,top,90
D3,169.545,-53.67,top,90
D4,153.301966,-50.638542,top,180
D5,148.717,-96.139,top,270
FlySol1,186.69,-111.887,top,90
FlySol2,172.212,-126.619,top,270
HFLED1,154.828862,-110.012539,top,0
R1,134.865,-70.104,top,180
R2,135.128,-81.534,top,180
R3,135.636,-93.989,top,90
R4,149.352,-65.033,top,90
R5,147.701,-75.819,top,90
R6,146.558,-88.655,top,90
R7,185.039,-70.104,top,90
R8,185.039,-82.686,top,90
R9,187.452,-94.996,top,90
R10,171.323,-66.421,top,180
R11,172.466,-75.982,top,90
R12,174.752,-87.63,top,90
R13,176.712306,-55.62251,top,90
R14,176.712306,-51.31351,top,90
R15,194.437,-57.658,top,90
R16,191.521076,-72.406738,top,270
R17,159.316862,-110.012539,top,180
R18,183.261,-119.888,top,270
R19,176.657,-119.949,top,270
R20,148.856966,-50.638542,top,0
R21,151.78653,-96.309362,top,270
U1,159.19,-78.518,top,0
U2,189.103,-59.69,top,0
U3,160.975,-91.266,top,90
