Designator,Mid X,Mid Y,Layer
BLED1,191.521076,-76.767738,top
C1,180.213,-59.699,top
C2,194.437,-65.541,top
C3,165.998,-95.885,top
C4,156.083,-93.862,top
D3,169.545,-53.67,top
D4,153.301966,-50.638542,top
D5,148.717,-96.139,top
FlySol1,186.69,-111.887,top
FlySol2,172.212,-126.619,top
HFLED1,154.828862,-110.012539,top
R1,134.865,-70.104,top
R2,135.128,-81.534,top
R3,135.636,-93.989,top
R4,149.352,-65.033,top
R5,147.701,-75.819,top
R6,146.558,-88.655,top
R7,185.039,-70.104,top
R8,185.039,-82.686,top
R9,187.452,-94.996,top
R10,171.323,-66.421,top
R11,172.466,-75.982,top
R12,174.752,-87.63,top
R13,176.712306,-55.62251,top
R14,176.712306,-51.31351,top
R15,194.437,-57.658,top
R16,191.521076,-72.406738,top
R17,159.316862,-110.012539,top
R18,183.261,-119.888,top
R19,176.657,-119.949,top
R20,148.856966,-50.638542,top
R21,151.78653,-96.309362,top
U1,159.19,-78.518,top
U2,189.103,-59.69,top
U3,160.975,-91.266,top
